Date,Close,%percentage
2/14/2021,48717.28906,0
2/15/2021,47945.05859,-0.015851261
2/16/2021,49199.87109,0.026171884
2/17/2021,52149.00781,0.05994196
2/18/2021,51679.79688,-0.008997504
2/19/2021,55888.13281,0.081430969
2/20/2021,56099.51953,0.003782319
2/21/2021,57539.94531,0.025676259
2/22/2021,54207.32031,-0.05791846
2/23/2021,48824.42578,-0.099301985
2/24/2021,49705.33203,0.018042327
2/25/2021,47093.85156,-0.052539242
2/26/2021,46339.76172,-0.01601249
2/27/2021,46188.45313,-0.0032652
2/28/2021,45137.76953,-0.022747755
3/1/2021,49631.24219,0.099550171
3/2/2021,48378.98828,-0.025231162
3/3/2021,50538.24219,0.04463206
3/4/2021,48561.16797,-0.03912036
3/5/2021,48927.30469,0.007539702
3/6/2021,48912.38281,-0.000304981
3/7/2021,51206.69141,0.046906498
3/8/2021,52246.52344,0.020306565
3/9/2021,54824.11719,0.04933522
3/10/2021,56008.55078,0.021604244
3/11/2021,57805.12109,0.032076715
3/12/2021,57332.08984,-0.008183207
3/13/2021,61243.08594,0.068216528
3/14/2021,59302.31641,-0.03168961
3/15/2021,55907.19922,-0.057251005
3/16/2021,56804.90234,0.016057022
3/17/2021,58870.89453,0.036369963
3/18/2021,57858.92188,-0.017189694
3/19/2021,58346.65234,0.00842965
3/20/2021,58313.64453,-0.000565719
3/21/2021,57523.42188,-0.013551248
3/22/2021,54529.14453,-0.052053186
3/23/2021,54738.94531,0.003847498
3/24/2021,52774.26563,-0.035891807
3/25/2021,51704.16016,-0.020277032
3/26/2021,55137.3125,0.066399925
3/27/2021,55973.51172,0.015165759
3/28/2021,55950.74609,-0.000406721
3/29/2021,57750.19922,0.032161379
3/30/2021,58917.69141,0.020216245
3/31/2021,58918.83203,1.93596E-05
4/1/2021,59095.80859,0.003003735
4/2/2021,59384.3125,0.004881969
4/3/2021,57603.89063,-0.02998135
4/4/2021,58758.55469,0.020044897
4/5/2021,59057.87891,0.005094139
4/6/2021,58192.35938,-0.014655446
4/7/2021,56048.9375,-0.03683339
4/8/2021,58323.95313,0.040589808
4/9/2021,58245.00391,-0.001353633
4/10/2021,59793.23438,0.026581344
4/11/2021,60204.96484,0.006885904
4/12/2021,59893.45313,-0.005174186
4/13/2021,63503.45703,0.060273765
4/14/2021,63109.69531,-0.006200634
4/15/2021,63314.01172,0.003237481
4/16/2021,61572.78906,-0.027501379
4/17/2021,60683.82031,-0.014437689
4/18/2021,56216.18359,-0.073621547
4/19/2021,55724.26563,-0.008750469
4/20/2021,56473.03125,0.013436976
4/21/2021,53906.08984,-0.045454288
4/22/2021,51762.27344,-0.039769466
4/23/2021,51093.65234,-0.012917151
4/24/2021,50050.86719,-0.02040929
4/25/2021,49004.25391,-0.020910992
4/26/2021,54021.75391,0.10238907
4/27/2021,55033.11719,0.018721408
4/28/2021,54824.70313,-0.003787066
4/29/2021,53555.10938,-0.02315733
4/30/2021,57750.17578,0.078331768
5/1/2021,57828.05078,0.001348481
5/2/2021,56631.07813,-0.020698824
5/3/2021,57200.29297,0.01005128
5/4/2021,53333.53906,-0.067600247
5/5/2021,57424.00781,0.076695993
5/6/2021,56396.51563,-0.017893077
5/7/2021,57356.40234,0.017020319
5/8/2021,58803.77734,0.025234759
5/9/2021,58232.31641,-0.009718099
5/10/2021,55859.79688,-0.040742318
5/11/2021,56704.57422,0.015123172
5/12/2021,49150.53516,-0.133217455
5/13/2021,49716.19141,0.011508649
5/14/2021,49880.53516,0.003305638
5/15/2021,46760.1875,-0.062556419
5/16/2021,46456.05859,-0.006504014
5/17/2021,43537.51172,-0.062823816
5/18/2021,42909.40234,-0.014426855
5/19/2021,37002.44141,-0.137661226
5/20/2021,40782.73828,0.102163445
5/21/2021,37304.69141,-0.085282328
5/22/2021,37536.63281,0.006217486
5/23/2021,34770.58203,-0.073689369
5/24/2021,38705.98047,0.11318184
5/25/2021,38402.22266,-0.007847826
5/26/2021,39294.19922,0.023227212
5/27/2021,38436.96875,-0.0218157
5/28/2021,35697.60547,-0.071268973
5/29/2021,34616.06641,-0.030297244
5/30/2021,35678.12891,0.030681201
5/31/2021,37332.85547,0.046379298
6/1/2021,36684.92578,-0.017355482
6/2/2021,37575.17969,0.024267567
6/3/2021,39208.76563,0.043475133
6/4/2021,36894.40625,-0.059026581
6/5/2021,35551.95703,-0.036386254
6/6/2021,35862.37891,0.008731499
6/7/2021,33560.70703,-0.06418068
6/8/2021,33472.63281,-0.002624326
6/9/2021,37345.12109,0.115691177
6/10/2021,36702.59766,-0.017205017
6/11/2021,37334.39844,0.017214062
6/12/2021,35552.51563,-0.047727642
6/13/2021,39097.85938,0.099721319
6/14/2021,40218.47656,0.028661855
6/15/2021,40406.26953,0.004669321
6/16/2021,38347.0625,-0.050962562
6/17/2021,38053.50391,-0.007655308
6/18/2021,35787.24609,-0.059554511
6/19/2021,35615.87109,-0.004788717
6/20/2021,35698.29688,0.002314299
6/21/2021,31676.69336,-0.112655333
6/22/2021,32505.66016,0.026169613
6/23/2021,33723.02734,0.037450929
6/24/2021,34662.4375,0.027856638
6/25/2021,31637.7793,-0.087260401
6/26/2021,32186.27734,0.017336806
6/27/2021,34649.64453,0.076534703
6/28/2021,34434.33594,-0.006213876
6/29/2021,35867.77734,0.041628257
6/30/2021,35040.83594,-0.023055273
7/1/2021,33572.11719,-0.041914489
7/2/2021,33897.04688,0.009678558
7/3/2021,34668.54688,0.022760095
7/4/2021,35287.78125,0.017861561
7/5/2021,33746.00391,-0.043691535
7/6/2021,34235.19531,0.014496276
7/7/2021,33855.32813,-0.011095809
7/8/2021,32877.37109,-0.028886355
7/9/2021,33798.01172,0.028002258
7/10/2021,33520.51953,-0.008210311
7/11/2021,34240.1875,0.021469475
7/12/2021,33155.84766,-0.03166863
7/13/2021,32702.02539,-0.013687548
7/14/2021,32822.34766,0.003679352
7/15/2021,31780.73047,-0.031735
7/16/2021,31421.53906,-0.011302176
7/17/2021,31533.06836,0.003549454
7/18/2021,31796.81055,0.008363988
7/19/2021,30817.83203,-0.030788576
7/20/2021,29807.34766,-0.032788951
7/21/2021,32110.69336,0.077274427
7/22/2021,32313.10547,0.006303573
7/23/2021,33581.55078,0.039254825
7/24/2021,34292.44531,0.021169199
7/25/2021,35350.1875,0.030844758
7/26/2021,37337.53516,0.056218872
7/27/2021,39406.94141,0.055424287
7/28/2021,39995.90625,0.014945713
7/29/2021,40008.42188,0.000312923
7/30/2021,42235.54688,0.055666405
7/31/2021,41626.19531,-0.014427458
8/1/2021,39974.89453,-0.03966975
8/2/2021,39201.94531,-0.019335866
8/3/2021,38152.98047,-0.026757979
8/4/2021,39747.50391,0.041792893
8/5/2021,40869.55469,0.028229465
8/6/2021,42816.5,0.047638036
8/7/2021,44555.80078,0.040622208
8/8/2021,43798.11719,-0.017005274
8/9/2021,46365.40234,0.058616336
8/10/2021,45585.03125,-0.016830892
8/11/2021,45593.63672,0.000188778
8/12/2021,44428.28906,-0.025559436
8/13/2021,47793.32031,0.075740735
8/14/2021,47096.94531,-0.014570551
8/15/2021,47047.00391,-0.001060396
8/16/2021,46004.48438,-0.022159106
8/17/2021,44695.35938,-0.028456465
