Time,Funding Rate
3/5/2022 16:00,0.0001
3/5/2022 8:00,0.0001
3/5/2022 0:00,0.0001
3/4/2022 16:00,0.0001
3/4/2022 8:00,0.0001
3/4/2022 0:00,0.0001
3/3/2022 16:00,0.0001
3/3/2022 8:00,0.0001
3/3/2022 0:00,0.0001
3/2/2022 16:00,0.0001
3/2/2022 8:00,0
3/2/2022 0:00,0
3/1/2022 16:00,0.0001
3/1/2022 8:00,0.0001
3/1/2022 0:00,-0.0001
2/28/2022 16:00,-0.0001
2/28/2022 8:00,-0.0002
2/28/2022 0:00,0
2/27/2022 16:00,0
2/27/2022 8:00,0.0001
2/27/2022 0:00,0.0001
2/26/2022 16:00,0.0001
2/26/2022 8:00,0.0001
2/26/2022 0:00,0
2/25/2022 16:00,0.0001
2/25/2022 8:00,0.0001
2/25/2022 0:00,-0.0001
2/24/2022 16:00,-0.0002
2/24/2022 8:00,0.0001
2/24/2022 0:00,0
2/23/2022 16:00,-0.0001
2/23/2022 8:00,0
2/23/2022 0:00,0
2/22/2022 16:00,0
2/22/2022 8:00,-0.0001
2/22/2022 0:00,0
2/21/2022 16:00,0
2/21/2022 8:00,0.0001
2/21/2022 0:00,-0.0001
2/20/2022 16:00,0.0001
2/20/2022 8:00,0
2/20/2022 0:00,0.0001
2/19/2022 16:00,0
2/19/2022 8:00,0.0001
2/19/2022 0:00,0
2/18/2022 16:00,0
2/18/2022 8:00,0
2/18/2022 0:00,0.0001
2/17/2022 16:00,0.0001
2/17/2022 8:00,0.0001
2/17/2022 0:00,0.0001
2/16/2022 16:00,0.0001
2/16/2022 8:00,0.0001
2/16/2022 0:00,0.0001
2/15/2022 16:00,-0.0001
2/15/2022 8:00,0.0001
2/15/2022 0:00,0.0001
2/14/2022 16:00,0
2/14/2022 8:00,0.0001
2/14/2022 0:00,0.0001
2/13/2022 16:00,0.0001
2/13/2022 8:00,0.0001
2/13/2022 0:00,0.0001
2/12/2022 16:00,0.0001
2/12/2022 8:00,0.0001
2/12/2022 0:00,-0.0001
2/11/2022 16:00,-0.0001
2/11/2022 8:00,0
2/11/2022 0:00,0.0001
2/10/2022 16:00,0
2/10/2022 8:00,0.0001
2/10/2022 0:00,0.0001
2/9/2022 16:00,0.0001
2/9/2022 8:00,0.0001
2/9/2022 0:00,0.0001
2/8/2022 16:00,0.0001
2/8/2022 8:00,0.0001
2/8/2022 0:00,-0.0001
2/7/2022 16:00,0.0001
2/7/2022 8:00,0
2/7/2022 0:00,0.0001
2/6/2022 16:00,0.0001
2/6/2022 8:00,0.0001
2/6/2022 0:00,0.0001
2/5/2022 16:00,0.0001
2/5/2022 8:00,0.0001
2/5/2022 0:00,0.0001
2/4/2022 16:00,-0.0001
2/4/2022 8:00,0
2/4/2022 0:00,0
2/3/2022 16:00,0
2/3/2022 8:00,-0.0001
2/3/2022 0:00,0
2/2/2022 16:00,0.0001
2/2/2022 8:00,0
2/2/2022 0:00,-0.0001
2/1/2022 16:00,0.0001
2/1/2022 8:00,0
2/1/2022 0:00,-0.0001
1/31/2022 16:00,-0.0001
1/31/2022 8:00,0.0001
1/31/2022 0:00,0.0001
1/30/2022 16:00,0.0001
1/30/2022 8:00,0.0001
1/30/2022 0:00,0
1/29/2022 16:00,0.0001
1/29/2022 8:00,0
1/29/2022 0:00,0
1/28/2022 16:00,0.0001
1/28/2022 8:00,0
1/28/2022 0:00,-0.0001
1/27/2022 16:00,-0.0001
1/27/2022 8:00,0
1/27/2022 0:00,0
1/26/2022 16:00,0
1/26/2022 8:00,0
1/26/2022 0:00,-0.0001
1/25/2022 16:00,0.0001
1/25/2022 8:00,0.0001
1/25/2022 0:00,0.0001
1/24/2022 16:00,0.0001
1/24/2022 8:00,0
1/24/2022 0:00,0
1/23/2022 16:00,0
1/23/2022 8:00,0.0001
1/23/2022 0:00,0.0001
1/22/2022 16:00,0
1/22/2022 8:00,0
1/22/2022 0:00,0.0001
1/21/2022 16:00,0
1/21/2022 8:00,0.0001
1/21/2022 0:00,0.0001
1/20/2022 16:00,0.0001
1/20/2022 8:00,0.0001
1/20/2022 0:00,0.0001
1/19/2022 16:00,0.0001
1/19/2022 8:00,0
1/19/2022 0:00,0.0001
1/18/2022 16:00,0.0001
1/18/2022 8:00,0.0001
1/18/2022 0:00,0.0001
1/17/2022 16:00,0.0001
1/17/2022 8:00,0
1/17/2022 0:00,0
1/16/2022 16:00,0
1/16/2022 8:00,0.0001
1/16/2022 0:00,0
1/15/2022 16:00,0.0001
1/15/2022 8:00,0
1/15/2022 0:00,-0.0001
1/14/2022 16:00,-0.0001
1/14/2022 8:00,0
1/14/2022 0:00,-0.0001
1/13/2022 16:00,0.0001
1/13/2022 8:00,-0.0001
1/13/2022 0:00,-0.0001
1/12/2022 16:00,0.0001
1/12/2022 8:00,0
1/12/2022 0:00,0.0001
1/11/2022 16:00,0.0001
1/11/2022 8:00,0.0001
1/11/2022 0:00,0.0001
1/10/2022 16:00,0
1/10/2022 8:00,0.0001
1/10/2022 0:00,0.0001
1/9/2022 16:00,0.0001
1/9/2022 8:00,0.0001
1/9/2022 0:00,0.0001
1/8/2022 16:00,0.0001
1/8/2022 8:00,0.0001
1/8/2022 0:00,0.0001
1/7/2022 16:00,0.0001
1/7/2022 8:00,0.0001
1/7/2022 0:00,0.0001
1/6/2022 16:00,0.0001
1/6/2022 8:00,0.0001
1/6/2022 0:00,0.0001
1/5/2022 16:00,0.0001
1/5/2022 8:00,0.0001
1/5/2022 0:00,0.0001
1/4/2022 16:00,0.0001
1/4/2022 8:00,0.0001
1/4/2022 0:00,0.0001
1/3/2022 16:00,0.0001
1/3/2022 8:00,0.0001
1/3/2022 0:00,0.0001
1/2/2022 16:00,0.0001
1/2/2022 8:00,0.0001
1/2/2022 0:00,0.0001
1/1/2022 16:00,0.0001
1/1/2022 8:00,0.0001
1/1/2022 0:00,0.0001
12/31/2021 16:00,0.0001
12/31/2021 8:00,0
12/31/2021 0:00,0.0001
12/30/2021 16:00,0.0001
12/30/2021 8:00,0.0001
12/30/2021 0:00,0.0001
12/29/2021 16:00,0.0001
12/29/2021 8:00,0.0001
12/29/2021 0:00,0.0001
12/28/2021 16:00,0.0001
12/28/2021 8:00,0.0001
12/28/2021 0:00,0.0001
12/27/2021 16:00,0.0001
12/27/2021 8:00,0.0001
12/27/2021 0:00,0.0001
12/26/2021 16:00,0.0001
12/26/2021 8:00,0.0001
12/26/2021 0:00,0.0001
12/25/2021 16:00,0.0001
12/25/2021 8:00,0.0001
12/25/2021 0:00,0.0001
12/24/2021 16:00,0.0001
12/24/2021 8:00,0.0001
12/24/2021 0:00,0
12/23/2021 16:00,0.0001
12/23/2021 8:00,0.0001
12/23/2021 0:00,0.0001
12/22/2021 16:00,0.0001
12/22/2021 8:00,0.0001
12/22/2021 0:00,0.0001
12/21/2021 16:00,0.0001
12/21/2021 8:00,0.0001
12/21/2021 0:00,0.0001
12/20/2021 16:00,0.0001
12/20/2021 8:00,0.0001
12/20/2021 0:00,0.0001
12/19/2021 16:00,0.0001
12/19/2021 8:00,0.0001
12/19/2021 0:00,0.0001
12/18/2021 16:00,0.0001
12/18/2021 8:00,0.0001
12/18/2021 0:00,0
12/17/2021 16:00,0.0001
12/17/2021 8:00,0.0001
12/17/2021 0:00,0.0001
12/16/2021 16:00,0.0001
12/16/2021 8:00,0.0001
12/16/2021 0:00,0.0001
12/15/2021 16:00,0.0001
12/15/2021 8:00,0.0001
12/15/2021 0:00,0.0001
12/14/2021 16:00,0.0001
12/14/2021 8:00,0
12/14/2021 0:00,0.0001
